NM_UE,ENSINO MEDIO,ENSINO FUNDAMENTAL,SUPERIOR,LÊ E ESCREVE,TOTAL
ANGRA DOS REIS,60.1,19.2,20.4,0.3,100%
APERIBÉ,33.3,55.6,11.1,0.0,100%
ARARUAMA,43.0,25.7,31.3,0.0,100%
AREAL,51.0,26.9,22.1,0.0,100%
ARMAÇÃO DOS BÚZIOS,51.0,21.7,26.8,0.6,100%
ARRAIAL DO CABO,58.8,16.0,25.2,0.0,100%
BARRA DO PIRAÍ,46.7,30.5,22.5,0.3,100%
BARRA MANSA,48.3,29.4,21.9,0.4,100%
BELFORD ROXO,48.0,32.8,15.3,3.9,100%
BOM JARDIM,31.1,53.8,15.1,0.0,100%
BOM JESUS DO ITABAPOANA,49.0,28.3,22.7,0.0,100%
CABO FRIO,51.5,25.0,23.3,0.3,100%
CACHOEIRAS DE MACACU,55.8,25.4,18.8,0.0,100%
CAMBUCI,51.4,34.7,13.9,0.0,100%
CAMPOS DOS GOYTACAZES,51.1,20.6,28.0,0.3,100%
CANTAGALO,47.8,32.8,19.4,0.0,100%
CARAPEBUS,53.6,20.0,20.0,6.4,100%
CARDOSO MOREIRA,58.0,26.0,7.0,9.0,100%
CARMO,45.8,35.3,19.0,0.0,100%
CASIMIRO DE ABREU,50.3,31.4,18.2,0.0,100%
COMENDADOR LEVY GASPARIAN,39.5,48.7,11.8,0.0,100%
CONCEIÇÃO DE MACABU,58.2,26.2,14.9,0.7,100%
CORDEIRO,58.1,28.6,13.3,0.0,100%
DUAS BARRAS,44.0,40.0,16.0,0.0,100%
DUQUE DE CAXIAS,48.5,24.2,26.1,1.2,100%
ENGENHEIRO PAULO DE FRONTIN,47.2,30.9,22.0,0.0,100%
GUAPIMIRIM,46.2,37.7,15.6,0.5,100%
IGUABA GRANDE,48.3,23.0,28.7,0.0,100%
ITABORAÍ,48.7,24.8,26.3,0.3,100%
ITAGUAÍ,48.7,21.2,30.1,0.0,100%
ITALVA,42.0,45.0,12.0,1.0,100%
ITAOCARA,51.9,30.8,17.3,0.0,100%
ITAPERUNA,48.0,26.5,19.0,6.5,100%
ITATIAIA,58.2,23.6,18.2,0.0,100%
JAPERI,56.2,29.9,13.6,0.3,100%
LAJE DO MURIAÉ,52.5,30.3,15.2,2.0,100%
MACAÉ,47.9,19.4,31.2,1.5,100%
MACUCO,59.3,28.8,11.9,0.0,100%
MAGÉ,54.2,25.2,19.9,0.8,100%
MANGARATIBA,47.3,22.4,27.8,2.5,100%
MARICÁ,50.9,15.4,33.8,0.0,100%
MENDES,44.7,24.7,30.7,0.0,100%
MESQUITA,52.8,23.6,23.6,0.0,100%
MIGUEL PEREIRA,45.4,23.7,30.9,0.0,100%
MIRACEMA,56.1,24.3,19.6,0.0,100%
NATIVIDADE,64.5,18.3,17.2,0.0,100%
NILÓPOLIS,52.6,19.0,28.4,0.0,100%
NITERÓI,34.6,12.1,52.5,0.8,100%
NOVA FRIBURGO,33.5,39.6,25.8,1.1,100%
NOVA IGUAÇU,59.0,15.3,25.6,0.0,100%
PARACAMBI,50.0,20.1,22.1,7.8,100%
PARATY,43.2,41.1,15.3,0.5,100%
PARAÍBA DO SUL,48.8,29.0,22.1,0.0,100%
PATY DO ALFERES,48.1,31.9,20.0,0.0,100%
PETRÓPOLIS,37.0,29.8,31.9,1.3,100%
PINHEIRAL,52.0,25.6,22.4,0.0,100%
PIRAÍ,43.6,39.3,16.6,0.6,100%
PORCIÚNCULA,54.8,29.8,15.5,0.0,100%
PORTO REAL,41.7,33.8,23.8,0.7,100%
QUATIS,51.4,27.5,20.2,0.9,100%
QUEIMADOS,58.4,24.8,16.8,0.0,100%
QUISSAMÃ,51.4,26.2,19.6,2.8,100%
RESENDE,45.5,21.8,32.8,0.0,100%
RIO BONITO,54.1,17.3,27.8,0.8,100%
RIO CLARO,49.2,33.6,17.2,0.0,100%
RIO DAS FLORES,44.8,34.4,20.8,0.0,100%
RIO DAS OSTRAS,56.6,18.1,25.0,0.3,100%
RIO DE JANEIRO,38.3,11.9,49.2,0.7,100%
SANTA MARIA MADALENA,55.6,29.2,15.3,0.0,100%
SANTO ANTÔNIO DE PÁDUA,44.3,34.0,21.6,0.0,100%
SAPUCAIA,38.0,38.0,23.9,0.0,100%
SAQUAREMA,49.2,33.1,17.8,0.0,100%
SEROPÉDICA,46.1,28.2,25.7,0.0,100%
SILVA JARDIM,48.9,35.8,15.3,0.0,100%
SUMIDOURO,28.6,67.9,3.6,0.0,100%
SÃO FIDÉLIS,53.9,38.3,7.8,0.0,100%
SÃO FRANCISCO DE ITABAPOANA,42.5,36.2,17.5,3.8,100%
SÃO GONÇALO,50.1,20.4,29.1,0.4,100%
SÃO JOSÉ DE UBÁ,37.8,48.6,12.2,1.4,100%
SÃO JOSÉ DO VALE DO RIO PRETO,37.5,40.9,19.3,2.3,100%
SÃO JOÃO DA BARRA,52.8,22.2,25.0,0.0,100%
SÃO JOÃO DE MERITI,57.5,20.6,21.5,0.4,100%
SÃO PEDRO DA ALDEIA,59.0,29.0,12.0,0.0,100%
SÃO SEBASTIÃO DO ALTO,39.6,31.2,29.2,0.0,100%
TANGUÁ,46.9,41.2,10.8,1.0,100%
TERESÓPOLIS,35.0,23.5,35.9,5.6,100%
TRAJANO DE MORAES,45.6,40.0,14.4,0.0,100%
TRÊS RIOS,47.0,27.7,25.3,0.0,100%
VALENÇA,34.7,20.9,43.9,0.5,100%
VARRE-SAI,41.8,43.6,14.5,0.0,100%
VASSOURAS,42.5,19.9,36.5,1.1,100%
VOLTA REDONDA,39.4,25.1,34.9,0.6,100%
