maisculo,municipios,repr_pret_eleitos,repr_negr_eleitos,inves_negr100,repr_negra100
ABAÍRA,Abaíra,259.875,74,51,"76,73"
ABARÉ,Abaré,88,92,109,"96,53"
ACAJUTIBA,Acajutiba,0,118,112,"122,41"
ADUSTINA,Adustina,326,50,101,"73,96"
ÁGUA FRIA,Água Fria,185,111,100,"106,51"
AIQUARA,Aiquara,46,95,93,"106,94"
ALAGOINHAS,Alagoinhas,49,117,125,"114,25"
ALCOBAÇA,Alcobaça,103,71,60,"94,97"
ALMADINA,Almadina,0,112,74,"110,99"
AMARGOSA,Amargosa,0,118,58,"113,3"
AMÉLIA RODRIGUES,Amélia Rodrigues,30,110,76,"104,72"
AMÉRICA DOURADA,América Dourada,0,111,111,"105,06"
ANAGÉ,Anagé,0,101,112,"126,84"
ANDARAÍ,Andaraí,61,115,50,"110,88"
ANDORINHA,Andorinha,0,127,113,"122,83"
ANGICAL,Angical,0,111,63,"90,88"
ANGUERA,Anguera,118,99,154,"94,6"
ANTAS,Antas,184,114,74,"81,28"
ANTÔNIO CARDOSO,Antônio Cardoso,39,87,116,"92,05"
ANTÔNIO GONÇALVES,Antônio Gonçalves,119,114,103,"104,92"
APORÁ,Aporá,0,49,88,"84,14"
APUAREMA,Apuarema,0,50,173,"75,18"
ARAÇÁS,Araçás,40,92,73,94
ARACATU,Aracatu,381,76,49,"81,19"
ARACI,Araci,171,82,354,"81,18"
ARAMARI,Aramari,124,109,53,"95,84"
ARATACA,Arataca,66,86,58,"106,11"
ARATUÍPE,Aratuípe,128,46,105,"67,55"
AURELINO LEAL,Aurelino Leal,0,104,47,"114,49"
BAIANÓPOLIS,Baianópolis,0,96,22,105
BAIXA GRANDE,Baixa Grande,73,83,105,"106,92"
BANZAÊ,Banzaê,576,99,106,"84,8"
BARRA,Barra,56,78,71,"102,53"
BARRA DA ESTIVA,Barra Da Estiva,127,81,118,"69,06"
BARRA DO CHOÇA,Barra Do Choça,236,91,34,"83,4"
BARRA DO MENDES,Barra Do Mendes,0,70,35,"104,26"
BARRA DO ROCHA,Barra Do Rocha,166,107,69,"108,28"
BARREIRAS,Barreiras,51,113,99,"113,56"
BARRO ALTO,Barro Alto,208,137,34,"108,36"
BARRO PRETO,Barro Preto,69,113,61,"113,37"
BARROCAS,Barrocas,0,130,71,"136,58"
BELMONTE,Belmonte,137,86,109,"86,95"
BELO CAMPO,Belo Campo,250,102,101,"110,11"
BIRITINGA,Biritinga,48,118,110,"105,77"
BOA NOVA,Boa Nova,0,60,109,"98,44"
BOA VISTA DO TUPIM,Boa Vista Do Tupim,95,126,39,"122,25"
BOM JESUS DA LAPA,Bom Jesus Da Lapa,69,108,18,"118,7"
BOM JESUS DA SERRA,Bom Jesus Da Serra,160,137,116,"119,8"
BONINAL,Boninal,126,101,83,"103,93"
BONITO,Bonito,96,133,59,"115,64"
BOQUIRA,Boquira,0,87,34,"83,58"
BOTUPORÃ,Botuporã,0,85,62,"106,13"
BREJÕES,Brejões,0,79,74,"109,55"
BREJOLÂNDIA,Brejolândia,110,128,58,"138,13"
BROTAS DE MACAÚBAS,Brotas De Macaúbas,341,150,89,"140,14"
BRUMADO,Brumado,0,82,104,"99,28"
BUERAREMA,Buerarema,153,121,94,"107,24"
BURITIRAMA,Buritirama,1.133,131,77,"103,65"
CAATIBA,Caatiba,0,92,64,"104,27"
CABACEIRAS DO PARAGUAÇU,Cabaceiras Do Paraguaçu,30,66,49,"82,32"
CACHOEIRA,Cachoeira,53,115,84,"110,33"
CACULÉ,Caculé,432,85,100,"85,18"
CAETANOS,Caetanos,0,94,81,"103,95"
CAETITÉ,Caetité,0,65,113,"94,86"
CAFARNAUM,Cafarnaum,202,103,24,"95,24"
CAIRU,Cairu,45,111,70,"107,76"
CALDEIRÃO GRANDE,Caldeirão Grande,125,102,103,"114,19"
CAMAÇARI,Camaçari,103,96,72,"103,54"
CAMAMU,Camamu,0,55,116,"83,57"
CAMPO ALEGRE DE LOURDES,Campo Alegre De Lourdes,0,101,107,"94,33"
CAMPO FORMOSO,Campo Formoso,0,85,78,"87,2"
CANÁPOLIS,Canápolis,491,99,111,"109,46"
CANARANA,Canarana,202,102,48,"105,48"
CANAVIEIRAS,Canavieiras,0,73,54,"93,39"
CANDEAL,Candeal,43,91,90,"72,93"
CANDEIAS,Candeias,20,100,49,"100,36"
CANDIBA,Candiba,0,87,92,"90,39"
CÂNDIDO SALES,Cândido Sales,0,142,49,"140,55"
CANSANÇÃO,Cansanção,290,113,84,"110,57"
CANUDOS,Canudos,141,123,50,"121,9"
CAPIM GROSSO,Capim Grosso,87,80,44,"104,86"
CARAÍBAS,Caraíbas,0,51,47,"116,07"
CARAVELAS,Caravelas,0,61,32,"91,73"
CARDEAL DA SILVA,Cardeal Da Silva,39,105,37,"101,89"
CARINHANHA,Carinhanha,80,97,100,"107,11"
CASA NOVA,Casa Nova,251,124,76,"116,5"
CASTRO ALVES,Castro Alves,72,68,68,"92,97"
CATOLÂNDIA,Catolândia,219,56,64,"91,48"
CATU,Catu,39,76,106,"99,84"
CATURAMA,Caturama,165,92,81,"72,65"
CENTRAL,Central,98,138,79,"135,09"
CHORROCHÓ,Chorrochó,90,84,101,"95,75"
CÍCERO DANTAS,Cícero Dantas,0,36,49,"72,74"
CIPÓ,Cipó,0,22,69,"82,23"
COARACI,Coaraci,0,93,80,"97,26"
COCOS,Cocos,154,56,112,"30,6"
CONCEIÇÃO DA FEIRA,Conceição Da Feira,61,74,111,"95,91"
CONCEIÇÃO DO ALMEIDA,Conceição Do Almeida,58,94,60,"100,65"
CONCEIÇÃO DO COITÉ,Conceição Do Coité,0,132,104,"123,25"
CONCEIÇÃO DO JACUÍPE,Conceição Do Jacuípe,52,115,103,"99,4"
CONDE,Conde,85,100,40,"109,34"
CONDEÚBA,Condeúba,431,133,68,"106,14"
CONTENDAS DO SINCORÁ,Contendas Do Sincorá,497,128,91,"119,38"
CORAÇÃO DE MARIA,Coração De Maria,0,112,61,"105,95"
CORDEIROS,Cordeiros,0,102,42,"72,97"
CORIBE,Coribe,0,15,104,"24,85"
CORONEL JOÃO SÁ,Coronel João Sá,0,135,104,"137,66"
CORRENTINA,Correntina,148,66,106,"83,99"
COTEGIPE,Cotegipe,121,132,109,"123,02"
CRAVOLÂNDIA,Cravolândia,132,91,103,"97,34"
CRISTÓPOLIS,Cristópolis,140,78,113,"86,72"
CRUZ DAS ALMAS,Cruz Das Almas,96,74,93,"95,92"
CURAÇÁ,Curaçá,83,125,138,"123,43"
DÁRIO MEIRA,Dário Meira,69,114,80,"121,06"
DOM BASÍLIO,Dom Basílio,554,132,101,"158,72"
DOM MACEDO COSTA,Dom Macedo Costa,46,37,106,"61,57"
ELÍSIO MEDRADO,Elísio Medrado,0,28,68,"43,35"
ENCRUZILHADA,Encruzilhada,0,88,71,"111,47"
ENTRE RIOS,Entre Rios,141,108,48,"105,18"
ÉRICO CARDOSO,Érico Cardoso,0,61,52,"102,61"
ESPLANADA,Esplanada,0,126,102,"122,34"
EUCLIDES DA CUNHA,Euclides Da Cunha,113,116,89,"122,88"
EUNÁPOLIS,Eunápolis,97,113,83,"113,62"
FÁTIMA,Fátima,0,116,102,"95,04"
FEIRA DA MATA,Feira Da Mata,0,81,107,"55,37"
FEIRA DE SANTANA,Feira De Santana,118,109,103,"108,61"
FILADÉLFIA,Filadélfia,185,128,169,"108,99"
FIRMINO ALVES,Firmino Alves,0,137,85,"122,44"
FLORESTA AZUL,Floresta Azul,89,102,65,"108,09"
FORMOSA DO RIO PRETO,Formosa Do Rio Preto,191,117,14,"110,11"
GANDU,Gandu,92,125,47,"114,41"
GAVIÃO,Gavião,0,130,52,"130,78"
GENTIO DO OURO,Gentio Do Ouro,0,66,71,"110,44"
GLÓRIA,Glória,0,148,102,"134,92"
GONGOGI,Gongogi,104,116,39,"116,25"
GOVERNADOR MANGABEIRA,Governador Mangabeira,100,92,107,"90,5"
GUANAMBI,Guanambi,63,90,113,"98,42"
GUARATINGA,Guaratinga,136,116,39,"107,35"
IAÇU,Iaçu,0,78,102,"108,84"
IBIASSUCÊ,Ibiassucê,258,128,109,"98,06"
IBICARAÍ,Ibicaraí,72,131,95,"115,12"
IBICOARA,Ibicoara,373,120,89,"104,99"
IBICUÍ,Ibicuí,349,99,79,"104,32"
IBIPEBA,Ibipeba,0,131,126,"128,04"
IBIPITANGA,Ibipitanga,0,60,100,"81,98"
IBIQUERA,Ibiquera,0,119,101,"115,09"
IBIRAPITANGA,Ibirapitanga,0,87,72,"107,8"
IBIRAPUÃ,Ibirapuã,166,97,101,"95,73"
IBIRATAIA,Ibirataia,0,98,97,"109,18"
IBITIARA,Ibitiara,69,85,139,"96,5"
IBITITÁ,Ibititá,0,38,72,"55,74"
IBOTIRAMA,Ibotirama,0,118,80,"110,47"
ICHU,Ichu,101,65,109,"72,88"
IGRAPIÚNA,Igrapiúna,59,106,64,"114,64"
IGUAÍ,Iguaí,121,100,120,"84,38"
ILHÉUS,Ilhéus,53,91,152,"103,04"
INHAMBUPE,Inhambupe,175,97,94,"97,83"
IPECAETÁ,Ipecaetá,0,92,97,"74,65"
IPIAÚ,Ipiaú,165,106,82,"103,3"
IPIRÁ,Ipirá,43,90,57,"109,31"
IRAJUBA,Irajuba,0,109,74,"110,66"
IRAMAIA,Iramaia,85,98,29,"100,9"
IRAQUARA,Iraquara,0,124,77,"110,3"
IRARÁ,Irará,28,110,52,"106,75"
IRECÊ,Irecê,59,75,108,"90,39"
ITABELA,Itabela,74,85,106,"105,84"
ITABERABA,Itaberaba,75,74,54,"93,49"
ITABUNA,Itabuna,32,95,103,"108,53"
ITACARÉ,Itacaré,155,117,38,"95,34"
ITAETÉ,Itaeté,146,98,81,"90,02"
ITAGI,Itagi,0,112,101,"108,15"
ITAGIBÁ,Itagibá,46,97,60,"98,85"
ITAGIMIRIM,Itagimirim,0,132,116,"121,12"
ITAGUAÇU DA BAHIA,Itaguaçu Da Bahia,224,130,85,"119,82"
ITAJU DO COLÔNIA,Itaju Do Colônia,146,109,82,"113,13"
ITAJUÍPE,Itajuípe,111,92,103,"96,39"
ITAMARAJU,Itamaraju,0,106,90,"110,62"
ITAMARI,Itamari,0,49,73,"82,23"
ITAMBÉ,Itambé,70,112,84,"118,74"
ITANAGRA,Itanagra,117,95,60,"87,82"
ITAPARICA,Itaparica,101,111,68,"105,07"
ITAPÉ,Itapé,63,100,61,"114,95"
ITAPEBI,Itapebi,0,127,67,"112,04"
ITAPETINGA,Itapetinga,53,122,42,"104,7"
ITAPICURU,Itapicuru,0,125,115,"123,54"
ITAPITANGA,Itapitanga,0,109,99,"117,87"
ITAQUARA,Itaquara,0,82,100,"85,93"
ITARANTIM,Itarantim,94,58,79,"104,05"
ITATIM,Itatim,0,54,113,"69,45"
ITIRUÇU,Itiruçu,0,52,49,"82,45"
ITIÚBA,Itiúba,0,85,81,"85,14"
ITORORÓ,Itororó,0,120,75,"122,14"
ITUAÇU,Ituaçu,0,142,90,"137,49"
ITUBERÁ,Ituberá,139,92,83,"111,61"
IUIU,Iuiu,0,109,103,"117,79"
JABORANDI,Jaborandi,0,71,100,"45,59"
JACOBINA,Jacobina,120,75,101,"99,7"
JAGUAQUARA,Jaguaquara,40,111,67,"125,59"
JAGUARARI,Jaguarari,229,108,77,"108,14"
JAGUARIPE,Jaguaripe,95,103,72,"110,54"
JANDAÍRA,Jandaíra,452,62,47,"71,66"
JEQUIÉ,Jequié,151,89,109,"99,15"
JEREMOABO,Jeremoabo,99,117,97,"101,9"
JIQUIRIÇÁ,Jiquiriçá,79,96,59,"104,42"
JITAÚNA,Jitaúna,81,84,63,"95,11"
JOÃO DOURADO,João Dourado,74,79,43,"114,72"
JUAZEIRO,Juazeiro,117,81,27,"92,86"
JUSSARA,Jussara,178,94,82,"94,73"
JUSSARI,Jussari,290,96,72,"96,39"
JUSSIAPE,Jussiape,120,92,95,"101,56"
LAFAIETE COUTINHO,Lafaiete Coutinho,195,67,52,"76,26"
LAGOA REAL,Lagoa Real,127,39,102,"64,64"
LAJE,Laje,57,72,115,"101,92"
LAJEDÃO,Lajedão,296,71,40,"68,93"
LAJEDINHO,Lajedinho,0,111,66,"119,58"
LAJEDO DO TABOCAL,Lajedo Do Tabocal,0,57,111,"100,75"
LAMARÃO,Lamarão,0,101,33,"109,8"
LAPÃO,Lapão,61,98,96,"102,42"
LAURO DE FREITAS,Lauro De Freitas,121,109,77,"113,97"
LENÇÓIS,Lençóis,98,118,54,"113,23"
LICÍNIO DE ALMEIDA,Licínio De Almeida,348,65,49,"99,4"
LIVRAMENTO DE NOSSA SENHORA,Livramento De Nossa Senhora,0,76,79,"106,98"
LUÍS EDUARDO MAGALHÃES,Luís Eduardo Magalhães,190,101,29,"101,84"
MACAJUBA,Macajuba,0,85,87,"101,51"
MACARANI,Macarani,0,84,103,"110,3"
MACAÚBAS,Macaúbas,99,102,106,"95,42"
MACURURÉ,Macururé,0,106,37,"122,59"
MADRE DE DEUS,Madre De Deus,172,115,104,"98,13"
MAIRI,Mairi,91,111,120,"103,31"
MALHADA,Malhada,85,104,103,"105,75"
MALHADA DE PEDRAS,Malhada De Pedras,223,73,40,"79,98"
MANOEL VITORINO,Manoel Vitorino,0,108,33,"136,44"
MANSIDÃO,Mansidão,370,89,113,"104,33"
MARACÁS,Maracás,81,61,103,"89,51"
MARAGOGIPE,Maragogipe,64,87,100,"111,58"
MARAÚ,Maraú,0,113,78,"103,31"
MARCIONÍLIO SOUZA,Marcionílio Souza,0,108,67,"112,66"
MASCOTE,Mascote,184,125,64,"112,02"
MATA DE SÃO JOÃO,Mata De São João,60,81,102,"102,99"
MATINA,Matina,89,62,101,"84,95"
MEDEIROS NETO,Medeiros Neto,0,70,144,"74,92"
MIGUEL CALMON,Miguel Calmon,71,95,98,"92,98"
MILAGRES,Milagres,0,102,102,"100,02"
MIRANGABA,Mirangaba,109,93,102,"97,99"
MIRANTE,Mirante,0,68,100,"103,48"
MONTE SANTO,Monte Santo,364,101,95,"126,88"
MORPARÁ,Morpará,416,102,82,"83,42"
MORRO DO CHAPÉU,Morro Do Chapéu,50,54,74,"78,27"
MORTUGABA,Mortugaba,0,82,123,"93,9"
MUCUGÊ,Mucugê,0,135,34,"131,64"
MUCURI,Mucuri,45,120,25,"118,42"
MULUNGU DO MORRO,Mulungu Do Morro,0,131,100,"131,27"
MUNDO NOVO,Mundo Novo,0,74,82,"95,69"
MUNIZ FERREIRA,Muniz Ferreira,46,61,108,"81,45"
MUQUÉM DO SÃO FRANCISCO,Muquém Do São Francisco,79,121,41,"94,8"
MURITIBA,Muritiba,30,116,110,"112,03"
MUTUÍPE,Mutuípe,137,103,88,"105,66"
NAZARÉ,Nazaré,111,99,87,"93,79"
NILO PEÇANHA,Nilo Peçanha,63,117,43,"99,71"
NORDESTINA,Nordestina,0,120,111,"110,4"
NOVA FÁTIMA,Nova Fátima,0,93,99.875,"85,71"
NOVA IBIÁ,Nova Ibiá,0,108,70,"107,97"
NOVA ITARANA,Nova Itarana,79,119,79,"121,55"
NOVA REDENÇÃO,Nova Redenção,0,81,110,"109,22"
NOVA SOURE,Nova Soure,0,53,88,"72,52"
NOVA VIÇOSA,Nova Viçosa,42,56,36,"53,44"
NOVO TRIUNFO,Novo Triunfo,284,137,111,"151,69"
OLINDINA,Olindina,0,53,42,"75,78"
OLIVEIRA DOS BREJINHOS,Oliveira Dos Brejinhos,183,88,113,"109,49"
OURIÇANGAS,Ouriçangas,53,99,63,"99,8"
OUROLÂNDIA,Ourolândia,0,99,94,"101,02"
PALMAS DE MONTE ALTO,Palmas De Monte Alto,124,139,77,"139,01"
PALMEIRAS,Palmeiras,62,110,66,"103,55"
PARATINGA,Paratinga,171,114,103,"106,56"
PARIPIRANGA,Paripiranga,0,137,101,"113,73"
PAU BRASIL,Pau Brasil,159,133,49,"128,4"
PAULO AFONSO,Paulo Afonso,114,134,102,"135,82"
PÉ DE SERRA,Pé De Serra,0,71,37,"81,42"
PEDRÃO,Pedrão,126,97,106,"92,1"
PEDRO ALEXANDRE,Pedro Alexandre,0,117,103,"111,74"
PIATÃ,Piatã,188,111,100,"115,53"
PILÃO ARCADO,Pilão Arcado,99,82,85,"103,62"
PINDOBAÇU,Pindobaçu,130,104,119,"103,1"
PINTADAS,Pintadas,0,111,56,"84,38"
PIRAÍ DO NORTE,Piraí Do Norte,117,96,78,"86,79"
PIRIPÁ,Piripá,198,106,101,"120,03"
PIRITIBA,Piritiba,90,81,100,"101,19"
PLANALTINO,Planaltino,0,72,99,"94,79"
PLANALTO,Planalto,324,27,105,"43,28"
POÇÕES,Poções,195,52,35,"100,11"
POJUCA,Pojuca,28,111,107,"108,23"
PONTO NOVO,Ponto Novo,0,117,105,"122,82"
PORTO SEGURO,Porto Seguro,87,85,97,"111,45"
POTIRAGUÁ,Potiraguá,0,116,100,"119,61"
PRADO,Prado,0,77,51,"97,09"
PRESIDENTE DUTRA,Presidente Dutra,509,108,47,"86,83"
PRESIDENTE TANCREDO NEVES,Presidente Tancredo Neves,98,115,71,"107,31"
QUEIMADAS,Queimadas,0,135,74,"123,86"
QUIXABEIRA,Quixabeira,128,106,76,"114,36"
RAFAEL JAMBEIRO,Rafael Jambeiro,0,91,76,"107,99"
REMANSO,Remanso,0,136,78,"140,43"
RETIROLÂNDIA,Retirolândia,115,59,73,"80,13"
RIACHÃO DAS NEVES,Riachão Das Neves,0,102,74,"112,95"
RIACHÃO DO JACUÍPE,Riachão Do Jacuípe,108,100,44,"98,28"
RIACHO DE SANTANA,Riacho De Santana,53,69,76,"72,82"
RIBEIRA DO AMPARO,Ribeira Do Amparo,0,128,107,"122,13"
RIBEIRA DO POMBAL,Ribeira Do Pombal,75,121,106,"129,8"
RIBEIRÃO DO LARGO,Ribeirão Do Largo,0,121,81,"114,2"
RIO DE CONTAS,Rio De Contas,0,0,32,"41,04"
RIO DO ANTÔNIO,Rio Do Antônio,0,23,104,"72,15"
RODELAS,Rodelas,0,53,54,"71,22"
RUY BARBOSA,Ruy Barbosa,50,68,121,"73,17"
SALINAS DA MARGARIDA,Salinas Da Margarida,100,87,104,"96,75"
SALVADOR,Salvador,82,77,82,"105,22"
SANTA BÁRBARA,Santa Bárbara,97,119,113,"114,53"
SANTA BRÍGIDA,Santa Brígida,166,90,107,115
SANTA CRUZ CABRÁLIA,Santa Cruz Cabrália,0,110,108,"101,15"
SANTA CRUZ DA VITÓRIA,Santa Cruz Da Vitória,0,50,111,"84,99"
SANTA INÊS,Santa Inês,139,115,128,"106,03"
SANTA LUZIA,Santa Luzia,58,95,67,"100,45"
SANTA MARIA DA VITÓRIA,Santa Maria Da Vitória,74,62,76,"89,39"
SANTA RITA DE CÁSSIA,Santa Rita De Cássia,0,95,44,"97,06"
SANTA TEREZINHA,Santa Terezinha,82,98,81,"101,99"
SANTALUZ,Santaluz,0,112,83,"115,97"
SANTANA,Santana,392,114,104,"116,48"
SANTANÓPOLIS,Santanópolis,115,101,87,"91,45"
SANTO AMARO,Santo Amaro,65,104,74,"106,77"
SANTO ANTÔNIO DE JESUS,Santo Antônio De Jesus,29,87,34,"108,58"
SÃO DESIDÉRIO,São Desidério,212,78,75,"96,27"
SÃO DOMINGOS,São Domingos,0,88,76,"91,76"
SÃO FELIPE,São Felipe,37,62,101,"97,26"
SÃO FÉLIX,São Félix,68,103,73,"98,61"
SÃO FÉLIX DO CORIBE,São Félix Do Coribe,0,100,100,124
SÃO FRANCISCO DO CONDE,São Francisco Do Conde,18,110,45,"109,43"
SÃO GABRIEL,São Gabriel,0,112,82,"114,29"
SÃO GONÇALO DOS CAMPOS,São Gonçalo Dos Campos,119,101,42,"97,22"
SÃO JOSÉ DA VITÓRIA,São José Da Vitória,112,93,70,"94,98"
SÃO JOSÉ DO JACUÍPE,São José Do Jacuípe,0,69,100,"90,04"
SÃO MIGUEL DAS MATAS,São Miguel Das Matas,62,78,53,"103,24"
SÃO SEBASTIÃO DO PASSÉ,São Sebastião Do Passé,46,57,185,"102,07"
SAPEAÇU,Sapeaçu,29,58,107,"98,21"
SÁTIRO DIAS,Sátiro Dias,93,122,103,"121,36"
SAUBARA,Saubara,57,100,111,"110,38"
SAÚDE,Saúde,0,71,81,"92,3"
SEABRA,Seabra,127,78,55,"77,56"
SENHOR DO BONFIM,Senhor Do Bonfim,80,120,100,"112,45"
SENTO SÉ,Sento Sé,88,64,73,"94,58"
SERRA DO RAMALHO,Serra Do Ramalho,0,120,110,"117,61"
SERRA DOURADA,Serra Dourada,0,58,35,"61,82"
SERRA PRETA,Serra Preta,90,107,31,"101,15"
SERRINHA,Serrinha,95,86,113,"104,5"
SERROLÂNDIA,Serrolândia,102,80,71,"66,59"
SIMÕES FILHO,Simões Filho,56,118,36,"109,51"
SÍTIO DO MATO,Sítio Do Mato,0,99,97,"105,59"
SÍTIO DO QUINTO,Sítio Do Quinto,330,88,61,"80,56"
SOBRADINHO,Sobradinho,307,79,81,"93,48"
SOUTO SOARES,Souto Soares,0,138,119,"125,3"
TANHAÇU,Tanhaçu,0,111,82,"129,33"
TANQUE NOVO,Tanque Novo,0,15,119,"71,15"
TANQUINHO,Tanquinho,91,113,113,"112,82"
TAPEROÁ,Taperoá,118,76,104,"91,01"
TAPIRAMUTÁ,Tapiramutá,73,102,90,"90,23"
TEIXEIRA DE FREITAS,Teixeira De Freitas,187,134,130,"119,49"
TEODORO SAMPAIO,Teodoro Sampaio,0,108,100,"104,81"
TEOFILÂNDIA,Teofilândia,75,95,104,"103,43"
TEOLÂNDIA,Teolândia,201,119,49,"100,64"
TERRA NOVA,Terra Nova,88,107,26,"105,92"
TREMEDAL,Tremedal,0,86,110,"84,73"
TUCANO,Tucano,0,57,134,"75,56"
UAUÁ,Uauá,180,76,74,"98,65"
UBAÍRA,Ubaíra,63,86,87,"82,74"
UBAITABA,Ubaitaba,0,119,35,"116,51"
UBATÃ,Ubatã,0,98,126,"102,26"
UMBURANAS,Umburanas,123,83,46,"74,12"
UNA,Una,144,105,105,"106,75"
URANDI,Urandi,0,47,101,"79,92"
URUÇUCA,Uruçuca,46,114,79,"107,36"
UTINGA,Utinga,0,128,114,"126,34"
VALENÇA,Valença,93,108,77,"113,57"
VALENTE,Valente,0,134,103,"127,22"
VÁRZEA DO POÇO,Várzea Do Poço,152,44,105,"57,57"
VÁRZEA NOVA,Várzea Nova,0,105,100,"123,39"
VARZEDO,Varzedo,57,86,87,"98,87"
VERA CRUZ,Vera Cruz,80,97,102,"107,51"
VEREDA,Vereda,0,116,93,"97,61"
VITÓRIA DA CONQUISTA,Vitória Da Conquista,172,91,25,"107,15"
WAGNER,Wagner,110,83,86,"106,94"
WANDERLEY,Wanderley,0,93,108,"90,81"
WENCESLAU GUIMARÃES,Wenceslau Guimarães,123,118,111,"112,53"
XIQUE-XIQUE,Xique-Xique,198,116,116,"113,99"