municipios,repr_pret_eleitos,repr_negr_eleitos,inves_negr100,codigo_uf,repr_negra100,,
ANGRA DOS REIS,"72,0","47,2","134,9",33,"72,0",,
APERIBÉ,"47,7","28,8","51,9",33,"75,8",,
ARARUAMA,"30,7","120,3","45,5",33,"63,3",,
AREAL,"125,9","68,8","41,3",33,"44,0",,
ARMAÇÃO DOS BÚZIOS,"96,0","72,4","68,0",33,"85,0",,
ARRAIAL DO CABO,"34,4","19,0","29,8",33,"65,7",,
BARRA DO PIRAÍ,"110,0","133,6","31,0",33,"44,4",,
BARRA MANSA,"147,9","119,1","52,1",33,"72,6",,
BELFORD ROXO,"15,1","62,9","41,4",33,"51,7",,
BOM JARDIM,"112,5","77,3","23,6",33,"97,1",,
BOM JESUS DO ITABAPOANA,"45,6","134,0","119,8",33,"87,4",,
CABO FRIO,"100,0","82,7","26,8",33,"80,5",,
CACHOEIRAS DE MACACU,"58,7","135,6","76,1",33,"59,5",,
CAMBUCI,"50,5","27,7","47,6",33,"58,3",,
CAMPOS DOS GOYTACAZES,"151,7","133,7","61,9",33,"66,8",,
CANTAGALO,"72,7","56,9","58,1",33,"46,0",,
CARAPEBUS,"26,4","50,6","125,1",33,"88,6",,
CARDOSO MOREIRA,"149,1","80,3","90,0",33,"92,0",,
CARMO,"35,9","149,5","71,0",33,"110,9",,
CASIMIRO DE ABREU,"20,7","50,2","37,3",33,"97,7",,
COMENDADOR LEVY GASPARIAN,"28,7","18,3","48,8",33,"71,1",,
CONCEIÇÃO DE MACABU,"15,8","53,7","28,3",33,"96,1",,
CORDEIRO,"23,0","63,2","52,5",33,"68,0",,
DUAS BARRAS,"103,3","76,5","54,8",33,"83,6",,
DUQUE DE CAXIAS,"94,7","50,1","16,5",33,"98,4",,
ENGENHEIRO PAULO DE FRONTIN,"167,9","67,8","30,6",33,"100,7",,
GUAPIMIRIM,"148,2","84,8","38,7",33,"75,9",,
IGUABA GRANDE,"47,1","86,2","140,8",33,"72,3",,
ITABORAÍ,"43,4","83,3","30,0",33,"95,3",,
ITAGUAÍ,"43,0","80,2","39,2",33,"93,7",,
ITALVA,"76,4","27,4","30,8",33,"108,4",,
ITAOCARA,"114,3","70,3","44,8",33,"91,5",,
ITAPERUNA,"49,0","145,4","30,3",33,"84,8",,
ITATIAIA,"44,5","59,0","49,7",33,"64,5",,
JAPERI,"57,7","54,9","39,4",33,"69,5",,
LAJE DO MURIAÉ,"11,9","41,9","49,8",33,"81,2",,
MACAÉ,"84,5","79,7","45,3",33,"108,9",,
MACUCO,"8,7","49,9","90,3",33,"68,2",,
MAGÉ,"154,2","87,6","77,9",33,"74,1",,
MANGARATIBA,"25,0","78,8","41,0",33,"88,5",,
MARICÁ,"120,8","140,0","62,0",33,"91,1",,
MENDES,"81,9","34,3","27,3",33,"101,1",,
MESQUITA,"164,7","122,8","29,3",33,"78,1",,
MIGUEL PEREIRA,"114,6","73,7","32,9",33,"96,0",,
MIRACEMA,"87,6","73,1","85,3",33,"97,4",,
NATIVIDADE,"55,1","136,1","26,8",33,"87,5",,
NILÓPOLIS,"24,6","53,7","43,3",33,"63,9",,
NITERÓI,"170,8","189,4","26,6",33,"92,4",,
NOVA FRIBURGO,"25,6","150,6","48,6",33,"67,4",,
NOVA IGUAÇU,"265,0","104,5","45,8",33,"101,8",,
PARACAMBI,"79,5","75,4","44,8",33,"75,1",,
PARAÍBA DO SUL,"14,9","69,1","48,3",33,"89,4",,
PARATY,"37,7","91,2","42,6",33,"99,4",,
PATY DO ALFERES,"18,7","48,7","32,5",33,"86,3",,
PETRÓPOLIS,"18,9","91,7","103,4",33,"90,5",,
PINHEIRAL,"33,1","58,3","56,9",33,"81,6",,
PIRAÍ,"159,1","53,3","104,5",33,"88,8",,
PORCIÚNCULA,"37,5","14,7","18,2",33,"93,5",,
PORTO REAL,"43,6","127,4","62,5",33,"76,3",,
QUATIS,"173,3","96,2","25,2",33,"109,1",,
QUEIMADOS,"81,9","67,8","63,9",33,"64,3",,
QUISSAMÃ,"293,0","136,8","117,4",33,"83,9",,
RESENDE,"86,8","118,8","110,4",33,"78,6",,
RIO BONITO,"19,9","58,7","87,3",33,"91,2",,
RIO CLARO,"255,6","122,5","34,3",33,"62,1",,
RIO DAS FLORES,"10,9","47,8","63,7",33,"98,9",,
RIO DAS OSTRAS,"45,6","89,8","31,8",33,"57,9",,
RIO DE JANEIRO,"185,1","75,8","64,7",33,"87,7",,
SANTA MARIA MADALENA,"14,7","50,8","35,0",33,"13,8",,
SANTO ANTÔNIO DE PÁDUA,"123,9","81,3","32,7",33,"67,7",,
SÃO FIDÉLIS,"160,4","86,3","43,5",33,"81,7",,
SÃO FRANCISCO DE ITABAPOANA,"145,2","150,0","70,2",33,"92,6",, 
SÃO GONÇALO,"38,7","68,2","30,4",33,"84,3",,
SÃO JOÃO DA BARRA,"50,2","89,8","40,0",33,"73,3",,
SÃO JOÃO DE MERITI,"117,5","70,1","76,8",33,"55,4",,
SÃO JOSÉ DE UBÁ,"27,1","47,7","27,4",33,"64,1",,
SÃO JOSÉ DO VALE DO RIO PRETO,"201,2","112,5","105,8",33,"62,4",,
SÃO PEDRO DA ALDEIA,"83,8","65,3","128,9",33,"99,0",,
SÃO SEBASTIÃO DO ALTO,"15,4","12,1","63,5",33,"67,4",,
SAPUCAIA,"43,1","162,9","20,5",33,"71,1",,
SAQUAREMA,"35,8","85,4","46,1",33,"65,2",,
SEROPÉDICA,"21,1","90,6","44,7",33,"64,2",,
SILVA JARDIM,"18,6","53,4","47,6",33,"49,7",,
SUMIDOURO,"26,9","18,4","25,9",33,"95,4",,
TANGUÁ,"66,6","46,3","106,2",33,"86,4",,
TERESÓPOLIS,"42,3","114,4","56,0",33,"102,4",,
TRAJANO DE MORAES,"20,4","18,2","32,3",33,"69,8",,
TRÊS RIOS,"53,8","108,4","33,9",33,"75,1",,
VALENÇA,"64,1","60,2","54,6",33,"51,6",,
VARRE-SAI,"23,2","75,5","31,1",33,"107,7",,
VASSOURAS,"34,7","129,2","38,4",33,"70,4",,
VOLTA REDONDA,"182,5","79,5","67,8",33,"74,0",,